country,state,city,postal_code,latitude,longitude,population
United States,Texas,El Paso,79936,31.7762034,-106.2977778,129566
United States,California,Riverside,92503,33.8858228,-117.4478687,120768
United States,Texas,Brownsville,78521,25.96242616,-97.32548917,118948
United States,Texas,Houston,77084,29.82469263,-95.65015615,117503
United States,Texas,Sugar Land,77479,29.56678229,-95.63337012,116497
United States,California,Bakersfield,93307,35.25673363,-118.9304235,114019
United States,California,Fontana,92335,34.08729972,-117.4648602,113685
United States,Texas,Houston,77449,29.83648803,-95.74098368,112473
United States,California,Jurupa Valley,92509,34.00300335,-117.4455851,109868
United States,New York,New York,11368,40.74975472,-73.85399099,108647
United States,Washington,Pasco,99301,46.41834569,-118.9074779,107807
United States,Georgia,null,30044,33.92175917,-84.06932355,107714
United States,Georgia,Lawrenceville,30043,34.00253049,-84.00772596,105451
United States,Georgia,Stockbridge,30281,33.56265526,-84.19656328,105071
United States,Illinois,Chicago,60629,41.77557754,-87.71200355,104841
United States,California,Los Angeles,91331,34.25534149,-118.4211033,104774
United States,Arizona,Casa Grande,85122,32.92911657,-111.7457894,103765
United States,Texas,Cedar Park,78613,30.50569948,-97.820055,103537
United States,California,San Diego,92154,32.57101268,-116.990731,103104
United States,Virginia,Dale City,22193,38.64334556,-77.34835872,102661
United States,Texas,Grand Prairie,75052,32.66505478,-97.02590378,102120
United States,California,Moreno Valley,92553,33.92295825,-117.2457424,101687
United States,California,South Gate,90280,33.94461425,-118.1925615,101635
United States,New York,New York,11207,40.66740401,-73.89200881,101525
United States,Texas,Katy,77494,29.74289102,-95.81919743,101021
United States,Virginia,Ashburn,20147,39.04115859,-77.48009503,100799
United States,Texas,Lucas,75002,33.08910561,-96.60836541,100231
United States,California,Norwalk,90650,33.90668783,-118.0831778,100205
United States,Nevada,Las Vegas,89110,36.17139104,-115.0448586,100190
United States,California,Temecula,92592,33.50000729,-117.0270532,100170
United States,California,Fontana,92336,34.13852454,-117.4617652,100105
United States,Texas,Mission,78572,26.20081419,-98.35775954,99995
United States,California,Rialto,92376,34.62601657,-117.464853,99607
United States,Texas,San Marcos,78666,29.88432601,-97.97709227,99272
United States,Georgia,Suwanee,30024,34.06240903,-84.09123865,99186
United States,Texas,Frisco,75034,33.15244286,-96.8419807,98690
United States,New Jersey,Lakewood,8701,40.07663652,-74.20341721,97877
United States,New York,New York,11236,40.63755673,-73.89783528,97797
United States,California,Los Angeles,90011,34.00687914,-118.2586281,96829
United States,New York,New York,11218,40.64693388,-73.98044845,96415
United States,New York,New York,11373,40.73858273,-73.87869308,96338
United States,Texas,Pharr,78577,26.14866515,-98.1904438,96249
United States,Nevada,Las Vegas,89108,36.20577521,-115.2236502,96231
United States,California,Westminster,92683,33.75294501,-118.0022272,96084
United States,New York,New York,11208,40.67241245,-73.87186362,95758
United States,Georgia,Cumming,30040,34.21655744,-84.18071256,95720
